Issue Code,ISIN Code,Auction Date,Issue Date,Maturity Date,Auction Tenor (Month),Auction Amount (S$M),Amount Applied (S$M),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
"BS21101T","SGXZ98866304","21 Jan 2021","26 Jan 2021","27 Jul 2021",6,3800,10567.503,"2.78","0.30","99.850","0.26","99.870","0.21","99.895"
"BY21100N","SGXZ97422869","21 Jan 2021","26 Jan 2021","25 Jan 2022",12,2900,5850.178,"2.02","0.38","99.621","0.31","99.691","0.28","99.721"
"BS21102X","SGXZ12876249","04 Feb 2021","09 Feb 2021","10 Aug 2021",6,3800,9475.21,"2.49","0.29","99.855","0.25","99.875","0.20","99.900"
"BS21103W","SGXZ30306765","18 Feb 2021","23 Feb 2021","24 Aug 2021",6,4000,13418.084,"3.35","0.31","99.845","0.20","99.900","0.21","99.895"
"BS21104N","SGXZ81946675","04 Mar 2021","09 Mar 2021","07 Sep 2021",6,4000,9508.134,"2.38","0.35","99.825","0.28","99.860","0.22","99.890"
"BS21105V","SGXZ44844975","18 Mar 2021","23 Mar 2021","21 Sep 2021",6,4000,7554.238,"1.89","0.44","99.781","0.30","99.850","0.28","99.860"
"BS21106A","SGXZ24435679","31 Mar 2021","06 Apr 2021","05 Oct 2021",6,3600,7724.886,"2.15","0.41","99.796","0.37","99.816","0.33","99.835"
"BS21107E","SGXZ38658035","15 Apr 2021","20 Apr 2021","19 Oct 2021",6,4000,8993.532,"2.25","0.37","99.816","0.31","99.845","0.26","99.870"
"BY21101V","SGXZ25214321","15 Apr 2021","20 Apr 2021","19 Apr 2022",12,3600,7694.226,"2.14","0.43","99.571","0.38","99.621","0.34","99.661"
"BS21108F","SGXZ85068062","29 Apr 2021","04 May 2021","02 Nov 2021",6,4200,8835.6,"2.10","0.37","99.816","0.34","99.830","0.31","99.845"
"BS21109Z","SGXZ19268879","12 May 2021","18 May 2021","16 Nov 2021",6,4000,10258.391,"2.56","0.33","99.835","0.31","99.845","0.23","99.885"
"BS21110N","SGXZ15051535","27 May 2021","01 Jun 2021","30 Nov 2021",6,4500,10205.262,"2.27","0.30","99.850","0.28","99.860","0.23","99.885"
"BS21111V","SGXZ50271949","10 Jun 2021","15 Jun 2021","14 Dec 2021",6,4000,9034.527,"2.26","0.30","99.850","0.28","99.860","0.26","99.870"
"BS21112A","SGXZ42613513","24 Jun 2021","29 Jun 2021","28 Dec 2021",6,3900,7503.392,"1.92","0.33","99.835","0.28","99.860","0.24","99.880"
"BS21113E","SGXZ25201864","08 Jul 2021","13 Jul 2021","11 Jan 2022",6,4000,9095.272,"2.27","0.32","99.840","0.26","99.870","0.22","99.890"
